[2025-05-12 08:38:53] IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:138.0) Gecko/20100101 Firefox/138.0 | CMD='cat /.env'
[2025-05-12 08:39:06] IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:138.0) Gecko/20100101 Firefox/138.0 | CMD='rm -rf /'
[2025-05-12 08:39:14] IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:138.0) Gecko/20100101 Firefox/138.0 | CMD='rm -rf /.env'
[2025-05-12 08:39:17] IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:138.0) Gecko/20100101 Firefox/138.0 | CMD='ls'
[2025-05-12 08:39:30] IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:138.0) Gecko/20100101 Firefox/138.0 | CMD='cat secrets.env'
[2025-05-12 09:43:08] IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:138.0) Gecko/20100101 Firefox/138.0 | CMD='cat /.env'
[2025-05-12 10:03:57] IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:138.0) Gecko/20100101 Firefox/138.0 | CMD='cat /.env'
[2025-05-12 10:04:29] IP=172.19.0.1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:138.0) Gecko/20100101 Firefox/138.0 | CMD='rm -rf /'
[2025-07-06 13:53:46] IP=192.168.32.1 | UA=Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | CMD='ls'
[2025-07-06 13:55:13] IP=192.168.32.1 | UA=Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | CMD='cat /.env'
[2025-07-06 13:55:23] IP=192.168.32.1 | UA=Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | CMD='rm -rf /'
[2025-07-06 13:55:28] IP=192.168.32.1 | UA=Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | CMD='pwd'
[2025-07-06 13:58:00] IP=192.168.32.1 | UA=Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | CMD='ls'
[2025-07-06 13:58:09] IP=192.168.32.1 | UA=Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | CMD='cat index/php'
[2025-07-06 16:20:02] IP=192.168.144.1 | UA=Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0 | CMD='ls'
